Epoch	Natural Test Acc	FGSM Acc	PGD20 Acc	CW Acc	
1.000000	0.481200	0.283400	0.223400	0.209300	
2.000000	0.557100	0.333700	0.252300	0.232000	
3.000000	0.615900	0.375500	0.288800	0.272700	
4.000000	0.633900	0.403100	0.323200	0.304300	
5.000000	0.667300	0.418000	0.319300	0.301500	
6.000000	0.671100	0.445200	0.345300	0.327100	
7.000000	0.700800	0.460000	0.364900	0.348200	
8.000000	0.704100	0.462800	0.359400	0.349900	
9.000000	0.745200	0.502800	0.386500	0.364600	
10.000000	0.756500	0.523700	0.389600	0.386700	
11.000000	0.761100	0.528000	0.395500	0.389300
12.000000	0.763200	0.513400	0.392700	0.381500	
13.000000	0.751200	0.514800	0.395200	0.383200	
