Epoch	Natural Test Acc	FGSM Acc	PGD20 Acc	CW Acc	
1.000000	0.365600	0.188600	0.112100	0.114200	
2.000000	0.554100	0.279800	0.182300	0.193500	
3.000000	0.650100	0.339900	0.205900	0.219800	
4.000000	0.685300	0.350100	0.211100	0.222400	
5.000000	0.710800	0.388600	0.238100	0.253400	
6.000000	0.725500	0.426200	0.283700	0.297300	
7.000000	0.756700	0.420800	0.258500	0.275700	
8.000000	0.753500	0.423700	0.264800	0.280000	
9.000000	0.744300	0.455300	0.298700	0.316900	
10.000000	0.735400	0.415300	0.245600	0.273000	
